tweet,gercek,gercek_ad,model_yanit,tahmin,tahmin_ad,parse_fail,dogru_mu
"Amcam ve ailesi Nurdağı'nda ikamet ediyor. Tüm aile olarak arıyoruz, ses yok.",1,Kayıp Bildirimi,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Kahramanmaraş'ta ana su hattı patlamış, mahalleler su altında.",2,Altyapı Hasarı,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
❗HATAY BİZZAT ARANDI❗  ACİL Çadır ve ısınma ihtiyacı var! Çocuklar için mont ve bot gibi kıyafetler ve powerbank lazım. 25 kişi var 4'ü çocuk.  👉Hatay/Arsuz Hüyük mahallesi İstiklal caddesi no:19  📞 Büşra Reyhani: 0531 495 59 21 ❗Muhtar: Rıdvan Dural  #depremsondakika #ACİL,0,Yardım Talebi,Diğer/İlgisiz,4,Diğer/İlgisiz,False,False
"zmir'in #Seferihisar ilçesinde meydana gelen depremin ardından 60 ilden 250 kişilik arama kurtarma ekibimiz ve mobil aşevimiz erzak, battaniye, hijyen ve gıda malzemelerinden oluşan ilk yardım malzemeleriyle Reyhanlı’dan #deprem bölgesine hareket etti.",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
Hatay'da yaşayan arkadaşım paylaşmış bu videoyu. İskenderun/Expo alanında yardım tırı var. Her türlü yardım malzemesi var. İhtiyacı olan araçla gidip alabilir.,3,Bağış/Koordinasyon,Yardım Talebi,0,Yardım Talebi,False,False
"Keza Sinan Hoca da primat derken,insan olarak muhatab dahi almamıştır.Satır aralarını okuma gayretinizde başarılar.",4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
Kahramanmaraş için acil: jeneratör ve mazot. Kim sağlayabilir?,3,Bağış/Koordinasyon,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
"Halam ve 3 çocuğu Hatay Samandağ'da. Hepsine ayrı ayrı arıyoruz, hiçbiri açmıyor.",1,Kayıp Bildirimi,Altyapı Hasarı,2,Altyapı Hasarı,False,False
"Powerbank, el feneri, pil topluyoruz. İletişim kesilince hayat kurtarıyor.",3,Bağış/Koordinasyon,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
"Olsun be 2.ligde de 6-7 defa kongre yapılıp Niyazi Dedem başkan seçilir ,orda da kümede kalma savaşı veririz. Canın sağolsun  @kirmizikara",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
"Annem 65 yaşında Adıyaman Gölbaşı'nda tek başına yaşıyor. Ulaşamıyorum, çok endişeliyim.",1,Kayıp Bildirimi,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"HATAYDAN ARKADAŞIM YAZDI. TEYİTLİ  ""Hatay/Hassa ilçesinde köylerde çadır, gıda gibi sorunlar var. Geceleri burayı -'lerde gösteriyor. Özellikle dağ köyleri kötü durumdaymış.""  YÜKLENELİM",0,Yardım Talebi,Diğer/İlgisiz,4,Diğer/İlgisiz,False,False
"*TEYİTLİ BİLGİ* Az önce arkadışımla konuştum. Hatay Defne ilçesi , Dursunlu mahallesi acil çadır ve battaniye ihtiyaçları var özellikle çadır hava çok soğuk çocuklar soğuktan üstlerine poşet vb. ne bulsalar serecek duruma gelmişler.  İletişim Ahmet Uygun +905355488676",0,Yardım Talebi,Diğer/İlgisiz,4,Diğer/İlgisiz,False,False
"Kahramanmaraş'ta 200 kişilik aşevi kuruldu, gönüllü aşçı aranıyor.",3,Bağış/Koordinasyon,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
"Ablam hastanede hemşire, depremde vardiyasındaydı. Hastaneden bilgi veremiyorlar.",1,Kayıp Bildirimi,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Bu Rüya gibi İtalyan Kasabası, Oraya Taşınmanız İçin Size devlet 30.000 Dolar Ödeyeceka",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
"Hatay'da su kuyuları bozulmuş, alternatif su kaynağı yok.",2,Altyapı Hasarı,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
